Time	Distance	Power
31.423	1167.32	297.5628
31.473	1168.84	276.829064
31.523	1170.37	228.701616
31.573	1171.89	235.092984
31.623	1173.42	177.425064
31.673	1175.04	223.8264
31.723	1176.62	162.93888
31.773	1178.27	164.007296
31.823	1179.83	53.901936
31.873	1181.51	-26.90064
31.923	1183.03	-107.39712
31.973	1184.71	-283.336
32.023	1186.24	-220.508288
32.073	1187.61	-132.858
32.123	1189.11	-225.65264
32.173	1190.51	-171.300816
32.223	1191.91	-189.118512
32.273	1193.32	-163.262112
32.323	1194.72	-123.734352
32.373	1196.03	-113.290112
32.423	1197.34	-137.69088
32.473	1198.63	-156.218832
32.523	1199.91	-140.370208
32.573	1201.13	-176.908488
32.623	1202.29	-111.97228
32.673	1203.48	-172.526304
32.723	1204.61	-188.838216
32.772	1205.71	-115.72968
32.822	1206.74	-124.384896
32.872	1207.75	-134.484168
32.922	1208.73	-124.73848
32.972	1209.67	-108.035
33.022	1210.65	-143.33176
33.072	1211.57	-134.330112
33.122	1212.51	-120.135616
33.172	1213.4	-113.07264
33.222	1214.28	-71.692984
33.272	1215.14	-55.61408
33.322	1216.05	-74.317936
33.372	1216.88	-66.108
33.422	1217.7	-45.778304
33.472	1218.55	-50.8896
33.522	1219.35	-36.422064
33.572	1220.11	-43.14708
33.622	1220.97	-34.133056
33.672	1221.7	-40.596768
33.722	1222.49	-47.128576
33.772	1223.22	-32.274216
33.822	1223.96	-42.601032
33.872	1224.69	-45.003456
33.922	1225.42	-24.16176
33.972	1226.15	-37.064456
34.022	1226.83	-32.501472
34.072	1227.5	-19.63968
34.122	1228.17	-19.726392
34.172	1228.87	-14.6248
34.222	1229.54	-22.907264
34.272	1230.21	-13.901536
34.322	1230.82	-11.836608
34.372	1231.46	-11.6466
34.422	1232.1	-10.082688
34.472	1232.72	-10.61016
34.522	1233.39	-12.110928
34.572	1234	-6.496256
34.621	1234.61	-9.383184
34.671	1235.22	-10.66752
34.721	1235.8	-7.41624
34.771	1236.38	-8.508192
34.821	1236.99	-10.398944
34.871	1237.54	-9.06912
34.921	1238.15	-8.36628
34.971	1238.67	-8.004
35.021	1239.22	-4.191072
35.071	1239.8	3.085752
35.121	1240.34	15.266648
35.171	1240.89	26.304432
35.221	1241.47	52.014144
35.271	1242.05	69.290088
35.321	1242.66	73.168616
35.371	1243.34	48.291504
35.421	1243.95	51.94288
35.471	1244.56	78.591184
35.521	1245.23	62.115144
35.571	1245.84	93.310464
35.621	1246.48	83.919624
35.671	1247.18	79.10864
35.721	1247.85	101.539328
35.771	1248.52	86.43024
35.821	1249.2	100.394784
35.871	1249.96	104.667776
35.921	1250.69	121.15048
35.971	1251.39	147.146832
36.021	1252.16	162.188032
36.071	1252.92	128.930512
36.121	1253.68	146.672368
36.171	1254.54	153.196544
36.221	1255.33	164.061648
36.271	1256.15	218.57552
36.321	1257.04	252.10912
36.371	1257.92	172.587
36.421	1258.81	193.308192
36.471	1259.72	158.183424
36.52	1260.64	196.253664
36.57	1261.62	151.53348
36.62	1262.59	171.963568
36.67	1263.6	186.514432
36.72	1264.52	221.90356
36.77	1265.52	201.449496
36.82	1266.65	303.19104
36.87	1267.66	193.117216
36.92	1268.73	187.112128
36.97	1269.79	237.308128
37.02	1270.89	207.44568
37.07	1271.99	170.702664
37.12	1273.12	204.075008
37.17	1274.25	317.478232
37.22	1275.44	301.344624
37.27	1276.6	243.983592
37.32	1277.79	256.31844
37.37	1279.01	146.40084
37.42	1280.23	-28.12536
37.47	1281.45	-66.299
37.52	1282.61	-112.950808
37.57	1283.77	-59.99616
37.62	1284.93	-72.786672
37.67	1286.03	-75.157824
37.72	1287.16	-57.069
37.77	1288.29	-32.330232
